"budget","revenue","runtime","vote_average","vote_count","ru","net.revenue","ratio","ratio_indicator","studio_unclass","actor_unclass","genre_unclass"
11818762.38,54336760.05,"126","6.7","5599","FALSE",42517997.669999994,3.5975000006726585,"Profit",4,12,1
23475640.14,53363625.3,"110","7.022","6544","FALSE",29887985.159999996,1.2731488888805227,"Profit",4,12,1
196696973,859783090.7,"147","7.4","6820","FALSE",663086117.7,3.3711048400322867,"Profit",4,12,1
226819036.8,229945188.2,"118","5.9","4138","FALSE",3126151.399999976,0.013782579469978492,"No.Profit",4,12,1
8940437.173,644206.1807,"105","7.467","849","FALSE",-8296230.9923,0.92794466666065345,"No.Profit",1,1,2
56450345.58,244963500.7,"107","6.401","5043","FALSE",188513155.12,3.3394508604529967,"Profit",1,1,2
12635895.08,76076175.34,"137","6.9","5895","FALSE",63440280.260000005,5.020639998856338,"Profit",2,1,2
56450345.58,244963500.7,"107","6.401","5043","FALSE",188513155.12,3.3394508604529967,"Profit",2,1,2
2858.125683,5716.251366,"104","6.44","1672","FALSE",2858.125683,1,"Profit",2,1,2
95.51293702,95.51293702,"145","5.1","436","FALSE",0,0,"No.Profit",2,1,2
170000000,1482656000,"101","5.483","1735","FALSE",1312656000,7.721505882352941,"Profit",3,1,2
39765252.42,22877311.33,"84","5.8","183","FALSE",-16887941.090000004,0.42469090631262246,"No.Profit",3,1,2
8101473.839,200327353.1,"116","6.109","7114","FALSE",192225879.261,23.72727272606083,"Profit",4,1,2
39765252.42,22877311.33,"84","5.8","183","FALSE",-16887941.090000004,0.42469090631262246,"No.Profit",4,1,2
44498947.77,73779505.09,"119","6.8","12034","FALSE",29280557.32,0.6580056110841381,"No.Profit",5,1,2
2858.125683,5716.251366,"104","6.44","1672","FALSE",2858.125683,1,"Profit",5,1,2
106977061.3,279689873.1,"123","7","7229","FALSE",172712811.8,1.614484541837008,"Profit",5,1,2
45784259.13,225237028.3,"107","6.3","3525","FALSE",179452769.17000002,3.9195298248784836,"Profit",5,1,2
12,1,"107","7.569","10737","FALSE",-11,0.9166666666666666,"No.Profit",8,1,2
24589582.7,118095530.4,"110","6.431","1687","FALSE",93505947.7,3.8026650895543668,"Profit",8,1,2
15780467.22,24459748.58,"129","7.638","14777","FALSE",8679281.359999998,0.55000154551824465,"No.Profit",3,2,2
89362161.23,661628966.1,"117","6.9","3651","FALSE",572266804.87,6.403905153962221,"Profit",4,2,2
45784259.13,225237028.3,"107","6.3","3525","FALSE",179452769.17000002,3.9195298248784836,"Profit",5,2,2
295053277,335344690.4,"102","5.6","426","FALSE",40291413.399999976,0.13655640028698945,"No.Profit",1,3,2
57230323.91,111527142.7,"125","5.6","375","FALSE",54296818.79000001,0.9487421192196431,"No.Profit",1,3,2
6599104.474,9611739.125,"119","6.639","2726","FALSE",3012634.6509999996,0.45652173910408067,"No.Profit",1,3,2
77325683.38,218662850,"91","6.5","912","FALSE",141337166.62,1.8278165861843045,"Profit",2,3,2
2692928.051,3337241.131,"104","7.1","2963","FALSE",644313.0800000001,0.23926115655438285,"No.Profit",3,3,2
34687828.03,54186634.57,"87","7","6958","FALSE",19498806.54,0.5621224402731796,"No.Profit",3,3,2
8629554.426,10576063.94,"108","6.9","675","FALSE",1946509.5139999986,0.22556315400657956,"No.Profit",3,3,2
17703196.62,18421409.41,"90","5.779","215","FALSE",718212.7899999991,0.040569666903467916,"No.Profit",3,3,2
27193801.41,225604720.9,"105","6.3","532","FALSE",198410919.49,7.296181820943878,"Profit",3,3,2
6062612.976,992022.8351,"142","8.479","23436","FALSE",-5070590.1409,0.8363704166788958,"No.Profit",4,3,2
1908737.792,5205646.895,"128","7.174","1131","FALSE",3296909.1029999997,1.7272718740196662,"Profit",5,3,2
18780512.11,178396546.2,"123","5.4","102","FALSE",159616034.08999997,8.499024582242873,"Profit",5,3,2
185481441.8,1137684438,"81","7.966","15919","FALSE",952202996.2,5.133683386107903,"Profit",6,3,2
12575753.01,678728.2519,"92","7.584","11990","FALSE",-11897024.7581,0.9460288182059325,"No.Profit",6,3,2
161298185.3,620975363,"117","6.893","12003","FALSE",459677177.7,2.849859574334591,"Profit",6,3,2
33.7637531,431.4257341,"103","7.794","12871","FALSE",397.66198099999997,11.777777779094112,"Profit",6,3,2
6867042.756,8964813.406,"100","7.552","8339","FALSE",2097770.6499999994,0.30548384865772044,"No.Profit",6,3,2
24853282.77,169190810.1,"125","7.353","2924","FALSE",144337527.32999998,5.807583998691212,"Profit",8,3,2
161298185.3,620975363,"117","6.893","12003","FALSE",459677177.7,2.849859574334591,"Profit",8,3,2
33.7637531,431.4257341,"103","7.794","12871","FALSE",397.66198099999997,11.777777779094112,"Profit",8,3,2
6867042.756,8964813.406,"100","7.552","8339","FALSE",2097770.6499999994,0.30548384865772044,"No.Profit",8,3,2
41625393.64,94846344.05,"113","6.024","6400","FALSE",53220950.41,1.2785693000355731,"Profit",1,4,2
4440041.988,913778.6789,"118","7.2","3886","FALSE",-3526263.3090999997,0.7941959374776976,"No.Profit",2,4,2
22812683.84,17143406.31,"85","6.6","1304","FALSE",-5669277.530000001,0.2485142725758304,"No.Profit",2,4,2
19311301.82,27724229.9,"107","6.787","5516","FALSE",8412928.079999998,0.4356478997851424,"No.Profit",4,4,2
16267131.92,167823102,"86","5.6","601","FALSE",151555970.08,9.31669890090865,"Profit",4,4,2
34976500.45,52930846.47,"109","6.869","9079","FALSE",17954346.019999996,0.5133259699799382,"No.Profit",5,4,2
70812786.49,257688432.3,"91","4.3","1794","FALSE",186875645.81,2.6390099171763297,"Profit",5,4,2
78035114.23,37182813.04,"125","5.8","3883","FALSE",-40852301.190000005,0.5235117753475992,"No.Profit",8,4,2
5908384.124,435279304.9,"114","6.1","117","FALSE",429370920.77599996,72.67146342633426,"Profit",1,5,2
4530793.186,964146.4973,"110","4.9","74","FALSE",-3566646.6887,0.7872013888695736,"No.Profit",2,5,2
40273717.21,9014539.12,"86","7","2574","FALSE",-31259178.090000004,0.7761681874808001,"No.Profit",2,5,2
35406393.24,47617097.58,"127","6.2","504","FALSE",12210704.339999996,0.344872866807712,"No.Profit",4,5,2
20602916.61,28972722.14,"119","6.1","2176","FALSE",8369805.530000001,0.4062437221115366,"No.Profit",4,5,2
9441704.865,1951826.997,"109","6.52","3555","FALSE",-7489877.868000001,0.793275999948342,"No.Profit",2,6,2
71729396.45,49935714.77,"100","7.41","6745","FALSE",-21793681.68,0.3038319400218514,"No.Profit",1,7,2
57230323.91,111527142.7,"125","5.6","375","FALSE",54296818.79000001,0.9487421192196431,"No.Profit",1,7,2
7881925.594,1689346.489,"96","6.7","2388","FALSE",-6192579.1049999995,0.7856683028972019,"No.Profit",1,7,2
25865068.22,10845658.83,"96","5.538","3675","FALSE",-15019409.389999999,0.5806831539066398,"No.Profit",2,7,2
10852733.55,21984338.21,"101","6.692","9394","FALSE",11131604.66,1.0256959326159814,"Profit",2,7,2
1242664.138,4846390.139,"115","6.27","6343","FALSE",3603726.001,2.9000000006437783,"Profit",2,7,2
209099328,1062966079,"95","5.5","814","FALSE",853866751,4.08354612693925,"Profit",1,8,2
18591406.52,74365626.07,"96","5.8","1012","FALSE",55774219.55,2.999999999462117,"Profit",1,8,2
58158727.38,201984114.5,"103","6.5","1517","FALSE",143825387.12,2.472980300622252,"Profit",1,8,2
5969480.815,5310146.131,"113","6.052","1092","FALSE",-659334.6840000004,0.1104509260408772,"No.Profit",1,8,2
14603865.8,3452277.359,"126","7.2","837","FALSE",-11151588.441,0.763605239442833,"No.Profit",2,8,2
45909784.45,1833503.653,"88","4.1","295","FALSE",-44076280.797000006,0.9600628999903745,"No.Profit",2,8,2
86025698.81,136559238.8,"98","5.6","2839","FALSE",50533539.99000001,0.5874237662586215,"No.Profit",2,8,2
37756609.89,108106730.3,"115","6.225","4097","FALSE",70350120.41,1.8632530996548111,"Profit",2,8,2
5960291.449,73314064.3,"96","5.979","291","FALSE",67353772.851,11.30041599933849,"Profit",2,8,2
8467551.837,10273962.9,"109","7.794","1786","FALSE",1806411.063000001,0.2133333338576881,"No.Profit",3,8,2
30525288.67,24571684.93,"124","6.5","3662","FALSE",-5953603.740000002,0.1950384091158867,"No.Profit",3,8,2
86025698.81,136559238.8,"98","5.6","2839","FALSE",50533539.99000001,0.5874237662586215,"No.Profit",4,8,2
3838476.007,20937141.86,"104","6.2","267","FALSE",17098665.853,4.4545454554928,"Profit",1,9,2
31066603.46,153191667.1,"99","6.1","433","FALSE",122125063.63999999,3.931072278218083,"Profit",1,9,2
57230323.91,111527142.7,"125","5.6","375","FALSE",54296818.79000001,0.9487421192196431,"No.Profit",1,9,2
22850576.25,64411415.36,"104","6.757","2150","FALSE",41560839.11,1.8188092350625074,"Profit",2,9,2
114252881.2,193557822.3,"106","5.5","2637","FALSE",79304941.10000001,0.6941176473368447,"No.Profit",5,9,2
62533743.24,34066019.75,"104","6.466","791","FALSE",-28467723.490000002,0.4552377966683192,"No.Profit",8,9,2
8440548.749,33539962.1,"88","5.7","1168","FALSE",25099413.351000004,2.973670800014475,"Profit",1,10,2
22850576.25,64411415.36,"104","6.757","2150","FALSE",41560839.11,1.8188092350625074,"Profit",2,10,2
4864021.405,8733129.34,"121","6.5","1186","FALSE",3869107.9349999996,0.7954545452910069,"No.Profit",2,10,2
2360426.216,4040677.915,"119","5.3","560","FALSE",1680251.699,0.7118425001427793,"No.Profit",3,10,2
47440110.6,37012133.08,"108","6.1","148","FALSE",-10427977.520000003,0.21981351620204703,"No.Profit",4,10,2
15121269.12,21678317.84,"115","7.395","2048","FALSE",6557048.720000001,0.4336308459273028,"No.Profit",5,10,2
56934961.73,1033119.042,"100","5.8","642","FALSE",-55901842.68799999,0.9818543999924104,"No.Profit",5,10,2
39554620.24,9394222.307,"101","6.6","214","FALSE",-30160397.933000002,0.7625000000000001,"No.Profit",5,10,2
78035114.23,37182813.04,"125","5.8","3883","FALSE",-40852301.190000005,0.5235117753475992,"No.Profit",8,10,2
26208788.29,104835153.1,"116","7.096","6673","FALSE",78626364.81,2.9999999977106917,"Profit",1,11,2
71128447.99,26570782.15,"103","7.2","2212","FALSE",-44557665.839999996,0.6264394500251769,"No.Profit",1,11,2
